done,pid,name,titles,affiliations_tbd,site_roles,link,local_image,original_image
FALSE,schmidt,Benjamin Schmidt,Director of Digital Humanities and Clinical Associate Professor of History,Center for the Humanities; Department of History; Program in Digital Humanities,exec_com; affil_fac,https://benschmidt.org,schmidt.jpg,https://benschmidt.org/authors/admin/avatar_hu100dbceb67e8fdbed30bfdcfd276f9b6_54689_250x250_fill_lanczos_center_2.png
FALSE,nyrop,Marii Nyrop,"Digital Humanities Technology Specialist, NYU IT and Division of Libraries",Digital Scholarship Services,exec_com,https://library.nyu.edu/people/marii-nyrop/,nyrop.jpg,
FALSE,mistry,Himanshu Mistry,"Manager, Data Services, Division of Libraries",Data Services,exec_com,https://library.nyu.edu/people/himanshu-mistry/,mistry.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/himanshu-mistry.jpg
FALSE,coble,Zach Coble,"Head of Digital Scholarship Services, Division of Libraries",Digital Scholarship Services,exec_com; affil_fac,https://library.nyu.edu/people/zachary-coble/,coble.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/zachary-coble.jpg
FALSE,karlin,Jojo Karlin,"Digital Scholarship Specialist, Division of Libraries",Digital Scholarship Services,exec_com,https://library.nyu.edu/people/jojo-karlin/,karlin.jpg,https://commons.gc.cuny.edu/files/avatars/5851/5d7424f5d81ff-bpfull.jpg
FALSE,wolf,Nicholas Wolf,"Research Data Management Librarian and Interim Co-Head of Data Services, Division of Libraries",Data Services,exec_com; proj_pi,https://library.nyu.edu/people/nicholas-wolf/,wolf.jpg,https://as.nyu.edu/content/dam/nyu-as/irelandHouse/images/headshots-portraits-promopics-etc/Faculty/Nicholas%20Wolf.JPG
FALSE,efstathiadis,Stratos Efstathiadis,"Director of Research Technology Services and Co-Coordinator of Data Services, NYU IT",Research Technology Services; Data Services,exec_com,https://library.nyu.edu/people/stratos-efstathiadis/,,
FALSE,brill,Bobby Brill,"Director of Strategic Planning and Services, NYU IT",Research Technology Services,exec_com,,brill.jpg,https://s3-us-west-1.amazonaws.com/co-directory-images/brill.jpg
FALSE,appert,Lucy Appert,"Director of Educational Technology, FAS",FAS Office of Educational Technology,exec_com,https://wp.nyu.edu/fas-edtech/about/our-team/,appert.jpg,https://s18798.pcdn.co/fas-edtech/wp-content/uploads/sites/354/2021/12/appert2021headshot-300x295.jpg
FALSE,maddox,Ben Maddox,"Associate Vice President, Teaching & Learning Technologies and Chief Instructional Technology Officer, NYU IT",Information Technology,exec_com,https://steinhardt.nyu.edu/people/ben-maddox,maddox.jpg,https://steinhardt.nyu.edu/sites/default/files/styles/nyu_profile_image/public/2021-03/4E0BD43F-9787-445D-B0E5-F425455FC5DB%20-%20Ben%20Maddox.jpeg?h=14580d8e&itok=4CrKN7lM
FALSE,keramidas,Kimon Keramidas,Clinical Associate Professor in Experimental Humanities & Social Engagement,XE,affil_fac,https://as.nyu.edu/faculty/kimon-keramidas.html,keramidas.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/kimon.keramidas.jpg
FALSE,augst,Tom Augst,"Associate Professor of English, FAS",Faculty of Arts and Science,proj_pi,,augst.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/profilePhotos/a-f/ThomasAugst.jpg
FALSE,jacobs,Thomas Jacobs,"Clinical Assistant Professor, NYU Writing Center & PEP Faculty",NYU Writing Center & PEP Faculty,proj_pi,,jacobs.jpg,https://cas.nyu.edu/content/dam/nyu-as/casEWP/images/faculty-photos/jacobs_tom.jpg
FALSE,schellmann,Hilke Schellmann,Assistant Professor in Journalism ,NYU Journalism,proj_pi,https://pulitzercenter.org/people/hilke-schellmann,schellmann.jpg,https://pulitzercenter.org/sites/default/files/styles/460x460/public/pictures/picture-440-1312740273.jpg?h=7bc5cf4e&itok=kYQctXYG
FALSE,sloane,Mona Sloane,"Adjunct Professor, Tandon School of Engineering",Tandon School of Engineering,proj_pi,https://ipk.nyu.edu/people/mona-sloane/,sloane.jpg,https://ipk.nyu.edu/wp-content/uploads/2018/09/MONA-435x435.jpg
FALSE,ralph,Michael Ralph,Associate Professor of Social and Cultural Analysis,Faculty of Arts and Science,proj_pi,https://as.nyu.edu/content/nyu-as/as/faculty/michael-ralph.html,ralph.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/profilePhotos/q-u/MichaelRalph.jpg
FALSE,bunde,Janet Bunde,"University Archivist, Division of Libraries",Special Collections,proj_pi,https://library.nyu.edu/people/janet-bunde/,bunde.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/janet-bunde.jpg
FALSE,beinart-smollan,Gavin Beinart-Smollan,"PhD Candidate in History, Hebrew and Judaic Studies",Graduate School of Arts and Science,proj_pi;,,beinart-smollan.jpg,https://media-exp1.licdn.com/dms/image/C4D03AQEz-EuoDHduQA/profile-displayphoto-shrink_200_200/0/1517157595257?e=1655942400&v=beta&t=_OduBvWt9S-dznnKwuL2ASIyscMaKx4nrLFBZDCg3Yw
FALSE,ansari,Ahmed Ansari,"Assistant Professor of Practice in Technology, Culture and Society","Technology, Culture and Society",proj_pi,https://engineering.nyu.edu/faculty/ahmed-ansari-1,ansari.jpg,https://engineering.nyu.edu/sites/default/files/styles/square_large_default_2x/public/2019-10/52303916_10161388995350282_1617569861465014272_n_0.jpg?h=f0d95172&itok=ePal-T28
FALSE,ayers,Elaine Ayers,Faculty Fellow in Museum Studies,Faculty of Arts and Science,proj_pi,https://as.nyu.edu/faculty/MS.html,ayers.jpg,https://as.nyu.edu/content/dam/nyu-as/museum/images/Ayers_Bio%20Pic.jpg
FALSE,brain,Tega Brain,"Industry Assistant Professor in Technology, Culture and Society","Technology, Culture and Society",proj_pi,https://engineering.nyu.edu/faculty/tega-brain,brain.jpg,https://engineering.nyu.edu/sites/default/files/styles/square_large_default_2x/public/2021-04/tegabrain-headshot-square.jpg?h=0f87c4e1&itok=Z3gip1Qt
FALSE,cabrera-arus,Maria A. Cabrera Arus,Visiting Scholar at the Center for Latin American and Caribbean Studies,Gallatin,proj_pi,https://gallatin.nyu.edu/people/faculty/mac29.html,cabrera-arus.jpg,https://www.brown.edu/research/projects/tracing-cuba-us-connections/sites/tracing-cuba-us-connections/files/images/large_Maria%20A%20Cabrera%20Arus%2C%20Bio%20Photo%20%281%29.jpeg
FALSE,kehoe,Lauren Kehoe,"Accessibility & Accommodations Librarian, Division of Libraries",User Experience,proj_pi,https://library.nyu.edu/people/lauren-kehoe/,kehoe.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/lauren-kehoe.jpg
FALSE,noonan,Ellen Noonan,"Clinical Associate Professor and Director, Archives and Public History Program",Faculty of Arts and Science,proj_pi,https://as.nyu.edu/faculty/ellen-noonan.html,noonan.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/ellenNoonan.png
FALSE,spielman,Andrew Spielman,Professor of Molecular Pathobiology,NYU College of Dentistry ,proj_pi,https://dental.nyu.edu/faculty/ft/ais1.html,spielman.jpg,https://dental.nyu.edu/content/nyudental/en/faculty/ft/ais1/_jcr_content/singleBox01/nyuimage.img.jpg/1496692443176.jpg
FALSE,vinkour,Maya Vinokour,Assistant Professor in Russian and Slavic Studies,Faculty of Arts and Science,proj_pi,https://as.nyu.edu/content/nyu-as/as/faculty/maya-vinokour.html,vinkour.jpg,https://as.nyu.edu/content/dam/nyu-as/russian/images/Headshot.jpeg
FALSE,soffer,Jonathan Soffer,"Professor in Technology, Culture, and Society",Tandon School of Engineering,proj_pi,https://engineering.nyu.edu/faculty/jonathan-soffer,soffer.jpg,https://engineering.nyu.edu/sites/default/files/styles/square_large_default_2x/public/2018-04/img_2764-soffer.jpg?h=0ccde02c&itok=Mkp8C1oc
FALSE,martin,Nicholas Martin,"Curator for the Arts & Humanities, Division of Libraries",Special Collections,proj_pi,https://library.nyu.edu/people/nicholas-martin/,martin.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/nicholas-martin.jpg
FALSE,mccormick,Jared McCormick,Director of Graduate Studies for Hagop Kevorkian Center for Near Eastern Studies and Clinical Assistant Professor,Faculty of Arts and Science; Kevorkian Center,"affil_fac, proj_pi",https://as.nyu.edu/faculty/jared-mccormick.html,mccormick.jpg,https://as.nyu.edu/content/dam/nyu-as/nearEast/images/Screen%20Shot%202021-10-26%20at%2011.22.45%20AM.png
FALSE,flouty,Rosanna Flouty,"Assistant Clinical Professor, Program in Museum Studies",Faculty of Arts and Science; Museum Sudies,"affil_fac, proj_pi",https://as.nyu.edu/faculty/rosanna-n-flouty.html,flouty.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/Flouty_Rosanna.jpg
FALSE,heath,Sebastian Heath,Clinical Associate Professor of Computational Humanities and Roman Archaeology,Institute for the Study of the Ancient World,affil_fac,https://isaw.nyu.edu/people/faculty/isaw-faculty/sebastian-heath,heath.jpg,https://isaw.nyu.edu/people/faculty/isaw-faculty/sebastian-heath/@@images/Image/mini
FALSE,hoover,David Hoover,Professor of English,Faculty of Arts and Science,affil_fac,https://as.nyu.edu/faculty/david-hoover.html,hoover.jpg,https://as.nyu.edu/content/dam/nyu-as/faculty/images/profilePhotos/g-k/Hoover-David.jpg
FALSE,hassapopoulou,Marina Hassapopoulou,Assistant Professor in Cinema Studies and Associate Director of Moving Image Archiving and Preservation,Tisch School of the Arts; Cinema Studies,affil_fac,https://tisch.nyu.edu/about/directory/cinema-studies/1076827536,hassapopoulou.jpg,https://tisch.nyu.edu/content/dam/tisch/cinema-studies/Marina%20Hassapopoulou%202018.jpg.preset.square.jpeg?
FALSE,gan,Elaine Gan,Visiting Assistant Professor in  Experimental Humanities & Social Engagement,Faculty of Arts and Sciences; Experimental Humanities,affil_fac,https://as.nyu.edu/content/nyu-as/as/faculty/elaine-gan.html,gan.jpg,https://as.nyu.edu/content/dam/nyu-as/ceh/images/faculty/Elaine%20Gan.png
FALSE,wrisley,David Wrisley,"Associate Professor of Digital Humanities, NYU AD",NYU Abu Dhabi,affil_fac,https://nyuad.nyu.edu/en/academics/divisions/arts-and-humanities/faculty/david-wrisley.html,wrisley.jpg,https://nyuad.nyu.edu/content/nyuad/en/home/academics/divisions/arts-and-humanities/faculty/david-wrisley/jcr:content/bio-info/image.adaptive.m1510293016018/290.jpg
FALSE,russell,Beth Russell,"Associate Director of Research Services & Strategy and Associate Academic Librarian for the Humanities, Division of Libraries",NYU Libraries; NYU Abu Dhabi,affil_fac,https://library.nyu.edu/people/beth-russell/,russell.jpg,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/beth-russell.jpg
FALSE,kapp,Craig Kapp,Clinical Associate Professor of Computer Science,Courant,affil_fac,https://cims.nyu.edu/people/profiles/KAPP_Craig.html,kapp.jpg,https://cims.nyu.edu/cmt/assets/images/bio_pictures/Kapp.jpg
